"","diff","lwr","upr","p adj"
"mean-complete",-0.08,-0.084,-0.075,0
"mi15-complete",-0.085,-0.089,-0.081,0
"mi5-complete",-0.085,-0.089,-0.08,0
"reg-complete",-0.067,-0.072,-0.063,0
"s_reg-complete",-0.086,-0.09,-0.081,0
"mi15-mean",-0.006,-0.01,-0.001,0.005
"mi5-mean",-0.005,-0.009,-0.001,0.017
"reg-mean",0.012,0.008,0.017,0
"s_reg-mean",-0.006,-0.011,-0.002,0.001
"mi5-mi15",0.001,-0.004,0.005,0.999
"reg-mi15",0.018,0.013,0.022,0
"s_reg-mi15",-0.001,-0.005,0.004,0.998
"reg-mi5",0.017,0.013,0.022,0
"s_reg-mi5",-0.001,-0.006,0.003,0.967
"s_reg-reg",-0.018,-0.023,-0.014,0
